Temps,Epsilon_11,Epsilon_22
0,0.8666666667,-0.3333333333
0.6986757167,0.8714795085,-0.3317988387
1.397351433,0.8760006391,-0.330521757
2.09602715,0.8802598181,-0.3294726951
2.794702867,0.8842835586,-0.3286255028
3.493378583,0.8880954831,-0.3279569163
4.1920543,0.8917166413,-0.3274462409
4.890730017,0.8951657928,-0.3270750681
5.589405734,0.8984596583,-0.3268270247
6.28808145,0.9016131437,-0.3266875487
6.986757167,0.9046395389,-0.3266436899
21.67560539,0.9520392335,-0.3352290009
36.3644536,0.9861588726,-0.3460683728
51.05330182,1.01377812,-0.3546117113
65.74215004,1.036545281,-0.3609893102
80.43099826,1.055450995,-0.3656293795
95.11984648,1.07125826,-0.3689007817
109.8086947,1.08457413,-0.3710993893
124.4975429,1.095883439,-0.3724606607
139.1863911,1.105573685,-0.3731716996
153.8752394,1.113954707,-0.3733810489
238.1443708,1.14657028,-0.3695134378
322.4135023,1.166663957,-0.3632250344
406.6826337,1.181958595,-0.3575766033
490.9517652,1.194842866,-0.3531296867
575.2208966,1.206188694,-0.3498201158
659.4900281,1.21640746,-0.3474582889
743.7591595,1.225748458,-0.3458564135
828.028291,1.234388103,-0.3448557317
912.2974224,1.242460314,-0.3443279803
996.5665539,1.250069552,-0.3441710596
2896.909899,1.376026315,-0.3641923665
4797.253243,1.467507112,-0.3835112829
6697.596588,1.536922136,-0.3981950681
8597.939932,1.589609184,-0.4093404044
10498.28328,1.629599522,-0.417799899
12398.62662,1.659952849,-0.4242207949
14298.96997,1.682991524,-0.4290943608
16199.31331,1.700478259,-0.4327934778
18099.65666,1.713750979,-0.4356011685
20000,1.723825192,-0.4377322522